hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
256,0.2625459166148916,109,357,1,32,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7998143672943114,0.8112019896507263,0.773243248462677
128,0.4038344053973777,61,194,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8256704866886138,0.8277236819267273,0.8208796977996826
128,0.4175233099323184,60,193,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8503045976161957,0.8796986937522888,0.781718373298645
256,0.39170282548155777,136,365,1,64,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8359202742576599,0.8546708822250366,0.7921688556671143
256,0.419272847818936,62,189,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8370146512985229,0.8552958369255066,0.7943585515022278
128,0.3936943721008449,149,195,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8443999409675598,0.8569087982177734,0.815212607383728
128,0.35138417019144835,143,194,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8359559178352356,0.8430145978927612,0.8194856643676758
128,0.32666746100358807,128,196,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8469067096710206,0.8522202372550964,0.83450847864151
256,0.3928733954434475,61,200,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8185180604457855,0.829108476638794,0.7938070893287659
128,0.35302161450990743,129,196,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8499292373657226,0.85936439037323,0.8279138803482056
256,0.20770099882159038,94,205,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.862464964389801,0.8794907331466675,0.8227381706237793
256,0.21112864343740245,71,275,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8489737033843994,0.8550915718078613,0.8346986770629883
256,0.3266441606477429,95,275,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8462346136569976,0.8573240637779236,0.8203592300415039
256,0.21603119165237145,94,272,1,64,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8547805130481719,0.8618935346603394,0.8381834626197815
256,0.20894814763525643,94,274,1,64,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8415390133857726,0.8909527063369751,0.7262403964996338
256,0.20564709485423235,97,128,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8352414786815643,0.8427450656890869,0.817733108997345
256,0.21416459063505688,94,129,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8289166033267974,0.8278687000274658,0.831361711025238
256,0.20985104416805384,94,124,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8747381389141082,0.8959415555000305,0.825263500213623
256,0.22064378513197816,94,272,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8272674024105071,0.8399118185043335,0.7977637648582458
256,0.2165306861998607,93,272,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8748313546180725,0.9053176641464233,0.8036966323852539
256,0.19946776875229127,93,273,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8634898126125334,0.8741777539253235,0.8385512828826904
256,0.20343896473241355,95,277,1,96,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.8187704384326935,0.8179680109024048,0.8206427693367004
